"nome","niveldeemergencia","situacaooperacional"
"T G de Souza","Emergência Nivel 1","Inativa"
"Fortuna","Emergência Nivel 1","Ativa"
"Neta","Emergência Nivel 1","Ativa"
"VILA NOVA","Emergência Nivel 1","Ativa"
"P1-1","Emergência Nivel 1","Em Descaracterização"
"Isa","Emergência Nivel 1","Ativa"
"BARRAGEM DE REJEITOS PGDM","Emergência Nivel 1","Ativa"
"Barragem Sul","Emergência Nivel 1","Em Descaracterização"
"TANQUE DE DECANTAÇÃO","Emergência Nivel 1","Em Descaracterização"
"Barragem B1A","Emergência Nivel 2","Inativa"
"Barragem Quéias","Emergência Nivel 1","Inativa"
"Dique B3","Emergência Nivel 1","Inativa"
"Dique B4","Emergência Nivel 1","Inativa"
"Sedimentacao IV","Emergência Nivel 1","Inativa"
"km 190","Emergência Nivel 1","Inativa"
"Baixinhos","Emergência Nivel 1","Inativa"
"T11","Emergência Nivel 1","Inativa"
"Sentinela","Emergência Nivel 1","Inativa"
"Sedimentacao V","Emergência Nivel 1","Inativa"
"Dique Santa Cruz","Emergência Nivel 1","Inativa"
"Sítio Horii","Emergência Nivel 1","Em Descaracterização"
"0-1","Emergência Nivel 1","Inativa"
"81-1","Emergência Nivel 1","Inativa"
"BARRAGEM D4","Emergência Nivel 1","Ativa"
"Bacia Nestor Figueiredo - BNF","Emergência Nivel 1","Ativa"
"Barragem Serra Azul","Emergência Nivel 3","Em Descaracterização"
"Barrragem do Vené","Emergência Nivel 1","Em Descaracterização"
"Sul Superior","Emergência Nivel 2","Em Descaracterização"
"Xingu","Emergência Nivel 1","Em Descaracterização"
"7a","Emergência Nivel 1","Em Descaracterização"
"Barragem de Rejeito 01","Emergência Nivel 1","Inativa"
"BACIA DE REJEITOS SÃO BENTO","Emergência Nivel 1","Inativa"
"Barragem de Rejeitos SB 02","Emergência Nivel 1","Ativa"
"Forquilha I","Emergência Nivel 2","Em Descaracterização"
"Forquilha II","Emergência Nivel 2","Em Descaracterização"
"Água Fria","Emergência Nivel 1","Em Descaracterização"
"Maravilhas II","Emergência Nivel 1","Inativa"
"Vargem Grande","Emergência Nivel 1","Em Descaracterização"
"Forquilha III","Emergência Nivel 2","Em Descaracterização"
"Barragem B2","Emergência Nivel 1","Ativa"
"Barragem B1","Emergência Nivel 1","Ativa"
"Barragem B5","Emergência Nivel 1","Ativa"
"Norte/Laranjeiras","Emergência Nivel 1","Inativa"
"Pontal","Emergência Nivel 1","Em Descaracterização"
"BR BRASÃO","Emergência Nivel 1","Inativa"
"Santa Maria","Emergência Nivel 1","Ativa"
"JABURU","Emergência Nivel 1","Ativa"
"Barragem do Serginho","Emergência Nivel 1","Ativa"
"Jacaré Inferior","Emergência Nivel 1","Em Descaracterização"
"TQ 6301 A - POND 1 A","Emergência Nivel 1","Inativa"
"TQ 6301 B - POND 1 B","Emergência Nivel 1","Inativa"
"TQ 6302 - POND 2","Emergência Nivel 1","Ativa"
"TQ 6303 - POND 3","Emergência Nivel 1","Ativa"
"Jacaré Superior","Emergência Nivel 1","Em Descaracterização"
"SANTA RITA","Emergência Nivel 1","Inativa"
"BARRAGEM DE CONTENÇÃO DE REJEITOS","Emergência Nivel 1","Inativa"
"BR02","Emergência Nivel 1","Ativa"
"Bacia de Rejeitos","Emergência Nivel 1","Inativa"
"Barragem 01","Emergência Nivel 1","Em Descaracterização"
"Barragem 02","Emergência Nivel 1","Inativa"
"BARRAGEM REJEITOS","Emergência Nivel 1","Em Descaracterização"
"DIQUE 2","Emergência Nivel 1","Ativa"
"ITAPEVA","Emergência Nivel 1","Inativa"
"Bacia de Acumulação 01","Emergência Nivel 1","Em Descaracterização"
"TANQUE DE DECANTAÇÃO","Emergência Nivel 1","Ativa"
"Barragem do Bandeira","Emergência Nivel 1","Inativa"
"Dique do Grotão","Emergência Nivel 2","Em Descaracterização"
"Bacia do Castanheira","Emergência Nivel 2","Inativa"
"Barragem CBC","Emergência Nivel 1","Em Descaracterização"
"BARRAGEM GEOMINAS","Emergência Nivel 1","Ativa"
"Barragem Mãe D'Água","Emergência Nivel 1","Inativa"
