"uf","categirarisco","qtd"
"AL","Baixa","1"
"AM","Baixa","14"
"AM","Média","1"
"AP","Baixa","17"
"AP","Média","6"
"AP","Alta","1"
"BA","Baixa","52"
"BA","Média","27"
"BA","Alta","9"
"GO","Baixa","11"
"GO","Média","10"
"MA","Baixa","3"
"MG","Baixa","196"
"MG","Média","103"
"MG","Alta","24"
"MS","Baixa","4"
"MS","Média","2"
"MS","Alta","1"
"MT","Baixa","95"
"MT","Média","73"
"MT","Alta","12"
"PA","Baixa","59"
"PA","Média","46"
"PA","Alta","17"
"PB","Média","1"
"PI","Baixa","1"
"PR","Média","3"
"RJ","Baixa","2"
"RN","Baixa","1"
"RO","Baixa","23"
"RO","Média","8"
"RO","Alta","4"
"RS","Baixa","4"
"RS","Média","2"
"SC","Baixa","9"
"SC","Alta","2"
"SC","Média","1"
"SE","Baixa","3"
"SP","Baixa","37"
"SP","Média","23"
"SP","Alta","1"
"TO","Baixa","5"
"TO","Média","2"
"TO","Alta","1"
