"nome","alturamaxima"
"Dique da Oficina II","9,4"
"BARRAGEM 01","3"
"BARRAGEM 02","3,5"
"BARRAGEM SÃO GERALDO","3"
"BARRAGEM SAO GERALDO 02","3"
"BARRAGEM TABOQUINHA","4,5"
"BARRAGEM 341","4,5"
"BARRAGEM URUPA 01","3"
"Barramento 1","4"
"SUMP DE CONTENÇÃO DE SEDIMENTOS","8,9"
"MNP-01","5"
"Dique 4 (Barragem 3 - Bota fora)","8"
"RESERVATÓRIO 01","3"
"Bacia 01","9"
"Bacia 07","7"
"Bacia 08","7"
"Bacia 09","7"
"Bacia 15","5"
"CSO1","6"
"PN - 1","5"
"13 - AN","8"
"Boa Sorte","3"
"Fiori","8"
"Area M","6"
"Dutra","4"
"Barragem 1 - Dique de Contenção","8"
"Barragem do Fundão","9"
"Barragem dos Coqueiros","7"
"Dique 2","3"
"Dique BIII-6","7,5"
"Dique BIII-7","7,5"
"SANTA LUZIA","5"
"11 - DES","5"
"Bacia de Decantação S1","5"
"T G de Souza","4"
"Dique V","9"
"Dique VII","7"
"Dique B2","9,78"
"SOL NASCENTE","4,2"
"BP-01","5"
"BP-02","8"
"MULTI 1","5"
"Fortuna","6"
"Neta","9"
"Dique do Dry Stacking","3,88"
"BARRAGEM 03","7"
"P.R.A","6"
"Dique PDE 1","9"
"Sump da Pilha 1","9,1"
"Mosquitos","7"
"SR.PEDRINHO","7"
"BARRAGEM DE REJEITO NORMA","5"
"SÃO RAFAEL","3"
"Mosquitos 2","6"
"Dique B3","23,5"
"Dique B4","25"
"6","21,6"
"158 (A-1)","30"
"Dique BIII-3","24"
"BARRAGEM D4","5,9"
"Timbopeba","65,24"
"7a","37,67"
"Capim Branco","27"
"FRANCÊS","23"
"COQUEIRAL","21"
"GONÇA","28"
"CANGAS","22"
"RONDON","25"
"BR BOSCO","20,61"
"Barragem de Rejeitos SB 02","23,5"
"Barragem 01","25"
"Barragem 02","22"
"Nova Baixo João Pereira","21,26"
"B","45"
"JOAO PAULO","24"
"Barragem B2","9,8"
"Barragem Eixo 1","41"
"Nova Barragem de Santarém","48"
"Cemig I","35,2"
"Barragem BM","28"
"Bacia 3","9"
"Conterpa","6,5"
"Modulo 3","8"
"Barragem de Contenção de Sedimentos do Josino","9,4"
"Leste","30"
"Santa Tereza II","5"
"Manga","23"
"Barragem Mãe D'Água","48"
