"nome","municipio"
"VALE DOURADO","JAGUARARI"
"DIEGO","ITAPECERICA"
"Mario Cruz","MATEUS LEME"
"Barragem A","DIAMANTINA"
"Barragem C","FORQUILHINHA"
"Barragem B","ITABIRITO"
"TANQUE DE DECANTAÇÃO","BELA VISTA DE MINAS"
"BARRAGEM DE REJEITOS","JAGUARARI"
"DIQUE DO BICHENTO IIIA","PARAUAPEBAS"
"Bacia de Rejeitos","PATROCÍNIO"
"BARRAGEM DE CONTENÇÃO DE REJEITOS","DESCALVADO"
"Barragem 01","NOSSA SENHORA DO LIVRAMENTO"
"Barragem 02","ARIPUANÃ"
"ITAPEVA","POCONÉ"
"Bacia de Acumulação 01","NOSSA SENHORA DO LIVRAMENTO"
"BARRAGEM REJEITOS","SANTA BÁRBARA"
"B5","OURO PRETO"
"B6","SÃO TIAGO"
"RP1","ITAÚNA"
"CAVA B","CALDAS"
"Barragem 1","SANTA BÁRBARA"
"Barragem 2","MARIANA"
"Barragem 3","MARIANA"
"Belíssima","NOVA LIMA"
"Barragem B1 - Mina Ipê","POCONÉ"
"Barragem B1-Auxiliar - Mina Tico-Tico","SÃO GONÇALO DO RIO ABAIXO"
"Barragem B2 - Mina Tico-Tico","POCONÉ"
"Barragem Mãe D'Água","PARAUAPEBAS"
"Barragem do Bandeira","POCONÉ"
"BARRAGEM GEOMINAS","ITABIRITO"
"Barragem CBC","NOSSA SENHORA DO LIVRAMENTO"
"DIQUE 2","NOSSA SENHORA DO LIVRAMENTO"
"Barragem de Clarificação de Água","NOVA LIMA"
"Barragem B1A","NOVA LIMA"
"Dique B3","CARANAÍBA"
"Dique B4","ITATIAIUÇU"
"Dique Petrobrás","MATEUS LEME"
"Dique de Contenção de Salmoura","MATEUS LEME"
"Dique de Resíduos Insóluveis","ITATIAIUÇU"
"BARRAGEM DE FLOTAÇÃO","MATEUS LEME"
"BARRAGEM DE LIXIVIAÇÃO","ITATIAIUÇU"
"Estéril Sul","ITATIAIUÇU"
"Geladinho","ITATIAIUÇU"
"Gelado","MATEUS LEME"
"Jacaré","MATEUS LEME"
"Pera Jusante","ITATIAIUÇU"
"Pera Montante","ITATIAIUÇU"
"RECON","MATEUS LEME"
"Azul","MATEUS LEME"
"Kalunga","MATEUS LEME"
"Barragem BM","ITATIAIUÇU"
"Barragem BR","ITATIAIUÇU"
"PDE Permanente II - Fase I","ITATIAIUÇU"
"PDE Permanente I","OURO PRETO"
"PDE Fosforoso","MARIANA"
"Timbopeba","BARÃO DE COCAIS"
"Mosquito","BARÃO DE COCAIS"
"Doutor","BARÃO DE COCAIS"
"Campo Grande","BARÃO DE COCAIS"
"Dicão Leste","SOROCABA"
"B6","CANAÃ DOS CARAJÁS"
"B7","CANAÃ DOS CARAJÁS"
"Barragem 02","CANAÃ DOS CARAJÁS"
"Barragem 03","CANAÃ DOS CARAJÁS"
"Capim Branco","SÃO FÉLIX DO XINGU"
"Taquaras","SÃO FÉLIX DO XINGU"
"BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BII","SÃO FÉLIX DO XINGU"
"BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BIII","OURILÂNDIA DO NORTE"
"BARRAGEM USINA SANTALUZ BENEFICIAMENTO BI","SÃO FÉLIX DO XINGU"
"Barragem de Contenção de Sólidos Carreados","SÃO FÉLIX DO XINGU"
"BARRAGEM B1","DESCOBERTO"
"Bacia A","ROSÁRIO DO CATETE"
"Bacia B","CONGONHAS"
"Usina","POCONÉ"
"Dique 04","POCONÉ"
"Dique 05","BRUMADO"
"Alto Jacutinga","POCONÉ"
"Barnabé","POCONÉ"
"BARRAGEM DE CONTENÇÃO DE ÁGUAS PLUVIAIS-DIQUE D-03","SANTALUZ"
"Barnabé 1","SANTALUZ"
"Cianita 1","SANTALUZ"
"Forquilha I","ROSÁRIO OESTE"
"Forquilha II","JAGUARARI"
"Dique 06","SÃO JOÃO DA BARRA"
"Dique Provisorio 01","MATEUS LEME"
"Dique Provisorio 02","MATEUS LEME"
"Forquilha III","MATEUS LEME"
"Barragem MSG","UBERABA"
"Bacia de Decantação 1","UBERABA"
"Bacia de Decantação 2","UBERABA"
"Bacia de Decantação 3","UBERABA"
"Forquilha IV","UBERABA"
"Forquilha V","UBERABA"
"TANQUE DE DECANTAÇÃO","MOGI DAS CRUZES"
"Gambá","MOGI DAS CRUZES"
"Grupo","IRECÊ"
"Maravilhas I","SIMÕES FILHO"
"Maravilhas II","IÇARA"
"Marés I","TATUÍ"
"Marés II","SANTOS"
"Prata","ALMEIRIM"
"Alcindo Vieira","ALMEIRIM"
"Borrachudo","VITÓRIA DO JARI"
"Borrachudo II","VITÓRIA DO JARI"
"Cambucal I","ITABIRITO"
"Cambucal II","ITABIRITO"
"Cemig I","CAMPO NOVO DE RONDÔNIA"
"Cemig II","CAMPO NOVO DE RONDÔNIA"
"Conceição","SÃO FÉLIX DO XINGU"
"Itabiruçu","SÃO FÉLIX DO XINGU"
"Jirau","CUJUBIM"
"Piabas","JARU"
"Pontal","MINISTRO ANDREAZZA"
"BARRAGEM  USINA BENEFICIAMENTO L7 - IIB","MINISTRO ANDREAZZA"
"Santana","URUPÁ"
"BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVA","ITABIRITO"
"BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVB","ITABIRITO"
"Barragem 1","ITABIRITO"
"Barragem 2","ITABIRITO"
"BACIA DE SEDIMENTO DA USINA DE TRATAMENTO","ITABIRITO"
"engebrita","ITABIRITO"
"BARRAGEM USINA BENEFICIAMENTO L7 - IIA","ITABIRITO"
"BARRAGEM USINA BENEFICIAMENTO L8 - IIIA","ITABIRITO"
"BARRAGEM USINA BENEFICIAMENTO L8 - IIIB","PRESIDENTE FIGUEIREDO"
"Quinzinho","PRESIDENTE FIGUEIREDO"
"Rio do Peixe","PRESIDENTE FIGUEIREDO"
"Galego","PRESIDENTE FIGUEIREDO"
"B3","PRESIDENTE FIGUEIREDO"
"Barragem de Sedimentos da Pedreira Juruaçu - BA4","PRESIDENTE FIGUEIREDO"
"Dicão","PRESIDENTE FIGUEIREDO"
"Diogo","ARAXÁ"
"Elefante","MOGI DAS CRUZES"
"Barragem de Sedimentos da Pedreira Itapeti - BA1","MOGI DAS CRUZES"
"Monjolo","BRUMADINHO"
"Norte/Laranjeiras","PRADOS"
"Barragem de Sedimentos da Pedreira Itapeti - BA2","CAIEIRAS"
"Porteirinha","ITAGIBÁ"
"Sul (Córrego do Canal)","BRUMADO"
"PDE 3","SENADOR MODESTINO GONÇALVES"
"2","SENADOR MODESTINO GONÇALVES"
"A - PDE Nordeste","SENADOR MODESTINO GONÇALVES"
"C - PDE Nordeste","BOFETE"
"Fazendinha","MOGI DAS CRUZES"
"Sul Superior","GUARAREMA"
"Barragem Rio Fiorita","ITABIRA"
"JOAO PAULO","POCONÉ"
"LU","VITÓRIA DA CONQUISTA"
"Barragem 1 - Decantação","RIO CRESPO"
"Pocilga","BRUMADINHO"
"Principal","BRUMADINHO"
"PDE Engano","BRUMADINHO"
"PDE Lagoa Seca","ALAMBARI"
"Barragem Lauro Muller","AGUAÍ"
"Barragem 101","AGUAÍ"
"5 (MAC)","NOVA PETRÓPOLIS"
"7B","INHAÚMA"
"Barragem BA-3","SÃO LOURENÇO DO PIAUÍ"
"COQUEIRAL","VÁRZEA"
"Sul Inferior","ITATIAIUÇU"
"Barragem Eustáquio","ITATIAIUÇU"
"Barragem BD-2","MATEUS LEME"
"Barragem Santo Antônio","MATEUS LEME"
"Tanque Específico IX-B","ITATIAIUÇU"
"1 Mina","ITATIAIUÇU"
"Tanque Específico X","ITATIAIUÇU"
"Tanque Específico XI","JUÍNA"
"Tanque Específico XII","NOVA SANTA HELENA"
"Barragem BD-5","NOVA SANTA HELENA"
"Barragem Antas Norte","ITAPETININGA"
"Barragem BL-1","ITAPETININGA"
"Barragem BR","SALTO DE PIRAPORA"
"Barragem BRI","SALTO DE PIRAPORA"
"Menezes I","NOSSA SENHORA DO LIVRAMENTO"
"Menezes II","NOSSA SENHORA DO LIVRAMENTO"
"VI","BRUMADINHO"
"VII","MAZAGÃO"
"Alain II","MAZAGÃO"
"BOM PASTOR","MONTE DO CARMO"
"OURINHOS I","CALÇOENE"
"FRED","ITABIRITO"
"CANGAS","ITABIRITO"
"Dique de Contenção Pilha de Estéril MMR","RIO CRESPO"
"RONDON","SANTA ISABEL"
"SANDRO GOMES","VILHENA"
"MARANATA","VILHENA"
"CHICO","BELA VISTA DE MINAS"
"Dique - Pilha de Rejeito","BELA VISTA DE MINAS"
"DIQUE D","BELA VISTA DE MINAS"
"Barragem E","BELA VISTA DE MINAS"
"Barragem B5","BELA VISTA DE MINAS"
"Barragem Captação de Água","BELA VISTA DE MINAS"
