"nome","nomemina"
"VALE DOURADO","PILHA 01 - PIC16"
"DIEGO","B2"
"Mario Cruz","Dique 01 Serra Azul - Dique Vai e Volta 1"
"Barragem A","SANGUINETE"
"Barragem C","Santa Líbera"
"Barragem B","Bacia Lavador de Rodas"
"TANQUE DE DECANTAÇÃO","Bacia 08"
"BARRAGEM DE REJEITOS","Pilha 01 - P1C3"
"DIQUE DO BICHENTO IIIA","Dique do Puma 01"
"Bacia de Rejeitos","Pond - PDE Sul"
"BARRAGEM DE CONTENÇÃO DE REJEITOS","12 - DES"
"Barragem 01","Barragem T09"
"Barragem 02","ARENAL"
"ITAPEVA","Fazenda Nova"
"Bacia de Acumulação 01","Barragem B1"
"BARRAGEM REJEITOS","Sistema de Contenção de Sedimentos Pinta Bem"
"B5","Doutor"
"B6","Volta Grande 3"
"RP1","Dique BIII-3"
"CAVA B","BARRAGEM D4"
"Barragem 1","Principal"
"Barragem 2","PDE Fosforoso"
"Barragem 3","PDE Permanente I"
"Belíssima","7a"
"Barragem B1 - Mina Ipê","BR ISMAEL"
"Barragem B1-Auxiliar - Mina Tico-Tico","Dicão"
"Barragem B2 - Mina Tico-Tico","Davi"
"Barragem Mãe D'Água","Gelado"
"Barragem do Bandeira","Grameiro"
"BARRAGEM GEOMINAS","Maravilhas I"
"Barragem CBC","CHIMBUVA"
"DIQUE 2","Barragem de Rejeito Estrela 03"
"Barragem de Clarificação de Água","Dique - Pilha de Rejeito"
"Barragem B1A","Barragem de Contenção de Sólidos Carreados"
"Dique B3","BARRAGEM B1"
"Dique B4","Barragem Captação de Água"
"Dique Petrobrás","Dique 02 Serra Azul - Dique Vai e Volta 2"
"Dique de Contenção de Salmoura","Dique 03 Serra Azul - Dique Vai e Volta 3"
"Dique de Resíduos Insóluveis","Dique 06"
"BARRAGEM DE FLOTAÇÃO","Dique 13 - Pains"
"BARRAGEM DE LIXIVIAÇÃO","Dique 14"
"Estéril Sul","Dique Couves (MUSA)"
"Geladinho","Dique da Divisa"
"Gelado","Dique da Oficina"
"Jacaré","Dique da Oficina II"
"Pera Jusante","Dique Flotação"
"Pera Montante","Dique Intermediário"
"RECON","Dique Leste I"
"Azul","Dique Leste II"
"Kalunga","Dique Leste III"
"Barragem BM","Dique Mazano"
"Barragem BR","Dique da Mineira"
"PDE Permanente II - Fase I","Dique BIV-3 - Dique Hércules"
"PDE Permanente I","Prata"
"PDE Fosforoso","PDE Engano"
"Timbopeba","2"
"Mosquito","A - PDE Nordeste"
"Doutor","C - PDE Nordeste"
"Campo Grande","Fazendinha"
"Dicão Leste","Fazenda Santa Fé"
"B6","1 Mina"
"B7","1 Usina"
"Barragem 02","3 Mina"
"Barragem 03","Sul Pilha"
"Capim Branco","RECON"
"Taquaras","Dique Provisorio 01"
"BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BII","Dique Provisorio 02"
"BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BIII","Usina"
"BARRAGEM USINA SANTALUZ BENEFICIAMENTO BI","Dique 04"
"Barragem de Contenção de Sólidos Carreados","Dique 05"
"BARRAGEM B1","SANTA TERESA"
"Bacia A","Dique Petrobrás"
"Bacia B","BARRAGEM DO LAGARTO"
"Usina","OURINHOS I"
"Dique 04","LU"
"Dique 05","BACIA DE SEDIMENTO DA USINA DE TRATAMENTO"
"Alto Jacutinga","CHICO"
"Barnabé","BOM PASTOR"
"BARRAGEM DE CONTENÇÃO DE ÁGUAS PLUVIAIS-DIQUE D-03","BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BII"
"Barnabé 1","BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BIII"
"Cianita 1","BARRAGEM USINA SANTALUZ BENEFICIAMENTO BI"
"Forquilha I","VALE DOURADO"
"Forquilha II","Dique 3"
"Dique 06","Pond de Emergência"
"Dique Provisorio 01","Bacia de Decantação 1"
"Dique Provisorio 02","Bacia de Decantação 2"
"Forquilha III","Bacia de Decantação 3"
"Barragem MSG","BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVA"
"Bacia de Decantação 1","BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVB"
"Bacia de Decantação 2","BARRAGEM  USINA BENEFICIAMENTO L7 - IIB"
"Bacia de Decantação 3","BARRAGEM USINA BENEFICIAMENTO L7 - IIA"
"Forquilha IV","BARRAGEM USINA BENEFICIAMENTO L8 - IIIA"
"Forquilha V","BARRAGEM USINA BENEFICIAMENTO L8 - IIIB"
"TANQUE DE DECANTAÇÃO","PORTO-4A"
"Gambá","PORTO-4B"
"Grupo","Barragem de Rejeitos de Irecê"
"Maravilhas I","TANQUE DE DECANTAÇÃO"
"Maravilhas II","Barragem 101"
"Marés I","Quevedo 1"
"Marés II","engebrita"
"Prata","LAGOA FACEL 4"
"Alcindo Vieira","LAGOA FACEL 3"
"Borrachudo","Barragem do Muriacá"
"Borrachudo II","Barragem do Felipe"
"Cambucal I","Barragem B2"
"Cambucal II","Barragem B3"
"Cemig I","BARRAGEM 01"
"Cemig II","BARRAGEM 02"
"Conceição","BARRAGEM SÃO GERALDO"
"Itabiruçu","BARRAGEM SAO GERALDO 02"
"Jirau","BARRAGEM TABOQUINHA"
"Piabas","BARRAGEM TARILÂNDIA 01"
"Pontal","BARRAGEM 339"
"BARRAGEM  USINA BENEFICIAMENTO L7 - IIB","BARRAGEM 341"
"Santana","BARRAGEM URUPA 01"
"BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVA","Barragem 3A - Sedimentação"
"BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVB","Barragem 3B - Sedimentação"
"Barragem 1","Barragem 4 - Acumulação"
"Barragem 2","barragem 7 - Dique Filtrante"
"BACIA DE SEDIMENTO DA USINA DE TRATAMENTO","Barragem 8 - Dique Filtrante"
"engebrita","Barragem 9 - Dique Filtrante"
"BARRAGEM USINA BENEFICIAMENTO L7 - IIA","Barragem 5 - Captação"
"BARRAGEM USINA BENEFICIAMENTO L8 - IIIA","Barragem 6 - Dique Filtrante"
"BARRAGEM USINA BENEFICIAMENTO L8 - IIIB","42"
"Quinzinho","68-1"
"Rio do Peixe","69"
"Galego","75-1"
"B3","30/jan."
"Barragem de Sedimentos da Pedreira Juruaçu - BA4","22"
"Dicão","189"
"Diogo","Barragem 1"
"Elefante","TABOÃO 01"
"Barragem de Sedimentos da Pedreira Itapeti - BA1","TABOÃO 02"
"Monjolo","Barragem B3"
"Norte/Laranjeiras","Dique de Contenção Pilha de Estéril MMR"
"Barragem de Sedimentos da Pedreira Itapeti - BA2","Barramento 1"
"Porteirinha","Dique Santa Rita"
"Sul (Córrego do Canal)","BARRAGEM DE DEPOSIÇÃO DE LAMA"
"PDE 3","D-2"
"2","D-1"
"A - PDE Nordeste","D-3"
"C - PDE Nordeste","TANQUE DE LAMA"
"Fazendinha","CAMC"
"Sul Superior","Guará 2"
"Barragem Rio Fiorita","Piteiras"
"JOAO PAULO","CAMPOS"
"LU","Barragem Santa Helena"
"Barragem 1 - Decantação","RIO BRANCO"
"Pocilga","DIQUE DE SAÍDA DE CAVA"
"Principal","BARRAGEM DE GABIÕES"
"PDE Engano","SUMP DE CONTENÇÃO DE SEDIMENTOS"
"PDE Lagoa Seca","TD2"
"Barragem Lauro Muller","TANQUE DE DECANTAÇÃO"
"Barragem 101","TANQUE DE DECANTAÇÃO 2"
"5 (MAC)","MNP-01"
"7B","GERAIS"
"Barragem BA-3","803.285/2014"
"COQUEIRAL","QUIXABA USINA"
"Sul Inferior","Dique 01 de Terra"
"Barragem Eustáquio","Dique 2 de Concreto"
"Barragem BD-2","Dique 01 - Serra Azul"
"Barragem Santo Antônio","Dique 02 - Pitangui"
"Tanque Específico IX-B","Dique 06 - Véu da Noiva Jusante"
