"nomeempreendedor","niveldeemergencia"
"MINERACAO CARAIBA S/A","Sem emergência"
"NACIONAL DE GRAFITE LTDA","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"Mineração Sanguinete Ltda","Sem emergência"
"Cooperativa de Extração de Carvão Mineral dos Trabalhadores de Criciúma","Sem emergência"
"GERDAU ACOMINAS S/A","Sem emergência"
"ARCELORMITTAL BRASIL S.A.","Emergência Nivel 1"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO ONCA PUMA S.A.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Emergência Nivel 1"
"MINERACAO JUNDU LTDA","Emergência Nivel 1"
"SALINAS GOLD MINERACAO LTDA","Emergência Nivel 1"
"COOPERATIVA DE MINERADORES E GARIMPEIROS DA REGIAO DE ARIPUANA - COOPEMIGA","Emergência Nivel 1"
"Ronny Morais Costa","Emergência Nivel 1"
"COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO","Emergência Nivel 1"
"ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","Emergência Nivel 1"
"VALE S.A.","Sem emergência"
"AMG BRASIL S.A.","Sem emergência"
"M B L MATERIAIS BASICOS LTDA","Sem emergência"
"INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Nível de Alerta"
"Davi Alves Bicalho","Sem emergência"
"VALE S.A.","Sem emergência"
"Davi Alves Bicalho","Sem emergência"
"VALE S.A.","Emergência Nivel 1"
"CAIO CESAR GIMENES RODRIGUES SILVA","Emergência Nivel 1"
"VALE S.A.","Emergência Nivel 1"
"Ronny Morais Costa","Emergência Nivel 1"
"HEUREKA MINERACAO LTDA","Emergência Nivel 1"
"EXTRATIVA MINERAL S/A","Sem emergência"
"EXTRATIVA MINERAL S/A","Emergência Nivel 2"
"CIMENTO TUPI S.A. EM RECUPERACAO JUDICIAL","Emergência Nivel 1"
"MINERACAO USIMINAS S.A.","Emergência Nivel 1"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Nível de Alerta"
"VALE S.A.","Sem emergência"
"TECH ROCK MINERACAO LTDA","Nível de Alerta"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"MINERACAO SAO FRANCISCO DE ASSIS LTDA","Sem emergência"
"MINERACAO ONCA PUMA S.A.","Sem emergência"
"MINERACAO ONCA PUMA S.A.","Sem emergência"
"MINERACAO ONCA PUMA S.A.","Sem emergência"
"MINERACAO ONCA PUMA S.A.","Sem emergência"
"MINERACAO ONCA PUMA S.A.","Sem emergência"
"NOVELIS DO BRASIL LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"CSN MINERACAO S.A.","Sem emergência"
"João Gimenes Rodrigues","Sem emergência"
"José Vicente Nunes Rondon","Sem emergência"
"MAGNESITA MINERACAO S.A.","Sem emergência"
"NORAIR NELSON DE SOUZA","Sem emergência"
"SIDNEI RAFAEL DE SOUZA","Sem emergência"
"MAGNESITA MINERACAO S.A.","Sem emergência"
"MAGNESITA MINERACAO S.A.","Sem emergência"
"MAGNESITA MINERACAO S.A.","Sem emergência"
"Marcir Norberto Weber","Emergência Nivel 2"
"MINERACAO CARAIBA S/A","Emergência Nivel 2"
"ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","Sem emergência"
