"nome","nomemina","nomeempreendedor","uf"
"VALE DOURADO","PILHA 01 - PIC16","MINERACAO CARAIBA S/A","RO"
"DIEGO","B2","NACIONAL DE GRAFITE LTDA","SP"
"Mario Cruz","Dique 01 Serra Azul - Dique Vai e Volta 1","MINERACAO USIMINAS S.A.","MG"
"Barragem A","SANGUINETE","Mineração Sanguinete Ltda","MG"
"Barragem C","Santa Líbera","Cooperativa de Extração de Carvão Mineral dos Trabalhadores de Criciúma","TO"
"Barragem B","Bacia Lavador de Rodas","GERDAU ACOMINAS S/A","RO"
"TANQUE DE DECANTAÇÃO","Bacia 08","ARCELORMITTAL BRASIL S.A.","RO"
"BARRAGEM DE REJEITOS","Pilha 01 - P1C3","MINERACAO CARAIBA S/A","BA"
"DIQUE DO BICHENTO IIIA","Dique do Puma 01","MINERACAO ONCA PUMA S.A.","MG"
"Bacia de Rejeitos","Pond - PDE Sul","MOSAIC FERTILIZANTES P&K LTDA.","MS"
"BARRAGEM DE CONTENÇÃO DE REJEITOS","12 - DES","MINERACAO JUNDU LTDA","MT"
"Barragem 01","Barragem T09","SALINAS GOLD MINERACAO LTDA","MT"
"Barragem 02","ARENAL","COOPERATIVA DE MINERADORES E GARIMPEIROS DA REGIAO DE ARIPUANA - COOPEMIGA","MT"
"ITAPEVA","Fazenda Nova","Ronny Morais Costa","MT"
"Bacia de Acumulação 01","Barragem B1","COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO","MT"
"BARRAGEM REJEITOS","Sistema de Contenção de Sedimentos Pinta Bem","ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","PA"
"B5","Doutor","VALE S.A.","GO"
"B6","Volta Grande 3","AMG BRASIL S.A.","GO"
"RP1","Dique BIII-3","M B L MATERIAIS BASICOS LTDA","SP"
"CAVA B","BARRAGEM D4","INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","MA"
"Barragem 1","Principal","VALE S.A.","MG"
"Barragem 2","PDE Fosforoso","VALE S.A.","MG"
"Barragem 3","PDE Permanente I","VALE S.A.","MG"
"Belíssima","7a","VALE S.A.","MT"
"Barragem B1 - Mina Ipê","BR ISMAEL","Davi Alves Bicalho","MG"
"Barragem B1-Auxiliar - Mina Tico-Tico","Dicão","VALE S.A.","MT"
"Barragem B2 - Mina Tico-Tico","Davi","Davi Alves Bicalho","MT"
"Barragem Mãe D'Água","Gelado","VALE S.A.","MG"
"Barragem do Bandeira","Grameiro","CAIO CESAR GIMENES RODRIGUES SILVA","MG"
"BARRAGEM GEOMINAS","Maravilhas I","VALE S.A.","MG"
"Barragem CBC","CHIMBUVA","Ronny Morais Costa","MG"
"DIQUE 2","Barragem de Rejeito Estrela 03","HEUREKA MINERACAO LTDA","PA"
"Barragem de Clarificação de Água","Dique - Pilha de Rejeito","EXTRATIVA MINERAL S/A","MG"
"Barragem B1A","Barragem de Contenção de Sólidos Carreados","EXTRATIVA MINERAL S/A","MG"
"Dique B3","BARRAGEM B1","CIMENTO TUPI S.A. EM RECUPERACAO JUDICIAL","MG"
"Dique B4","Barragem Captação de Água","MINERACAO USIMINAS S.A.","MG"
