"nome","nomeempreendedor","latitude","longitude"
"Barragem B1A","EXTRATIVA MINERAL S/A","-20°06'36.060''","-43°54'11.690''"
"Dique B3","CIMENTO TUPI S.A. EM RECUPERACAO JUDICIAL","-20°54'12.200''","-43°48'14.000''"
"Dique B4","MINERACAO USIMINAS S.A.","-20°10'09.300''","-44°27'03.170''"
"Mario Cruz","MINERACAO USIMINAS S.A.","-20°07'44.700''","-44°25'12.700''"
"RECON","MINERACAO USIMINAS S.A.","-20°07'17.000''","-44°22'16.400''"
"Capim Branco","MINERACAO SAO FRANCISCO DE ASSIS LTDA","-06°49'53.500''","-51°59'27.600''"
"Forquilha IV","MAGNESITA MINERACAO S.A.","-19°24'41.235''","-47°57'23.791''"
"Forquilha V","MAGNESITA MINERACAO S.A.","-19°24'34.100''","-47°57'20.460''"
"TANQUE DE DECANTAÇÃO","ITAQUAREIA INDUSTRIA EXTRATIVA DE MINERIOS LTDA","-23°33'46.100''","-46°16'04.500''"
"Maravilhas II","Indústria Carbonífera Rio Deserto Ltda","-28°43'45.000''","-49°14'54.000''"
"Marés II","Pedreira Engebrita Ltda","-23°52'54.000''","-46°18'51.600''"
"Cambucal I","HERCULANO MINERACAO LTDA","-20°14'59.720''","-43°56'07.650''"
"Galego","MINERACAO TABOCA S A","-00°45'41.600''","-60°12'21.500''"
"Norte/Laranjeiras","CSN CIMENTOS BRASIL S.A. Filial: CSN CIMENTOS BRASIL S.A.","-21°11'27.800''","-43°59'28.500''"
"2","Mineração Pedra Menina Ltda","-17°58'05.930''","-43°10'08.450''"
"A - PDE Nordeste","Mineração Pedra Menina Ltda","-17°58'07.170''","-43°10'11.080''"
"C - PDE Nordeste","CONCRESAND MINERACAO E TRANSPORTE LTDA","-23°11'18.600''","-48°21'04.800''"
"Fazendinha","MINERADORA PONTE ALTA LTDA","-23°24'04.600''","-46°12'19.500''"
"Pocilga","EMPRESA DE MINERACAO ESPERANCA S A","-20°06'43.300''","-44°13'12.700''"
"PDE Lagoa Seca","DISK-BASE EXT.DE AREIA E COM.DE MAT.P/CONST.LTDA","-23°34'46.419''","-47°49'45.677''"
"5 (MAC)","Mineração Nova Petrópolis Ltda.","-29°20'48.000''","-51°11'30.000''"
"7B","MINERACOES GERAIS LTDA","-19°34'56.800''","-44°24'41.100''"
"Barragem A","Mineração Sanguinete Ltda","-18°00'32.600''","-43°46'08.100''"
"Barragem B","GERDAU ACOMINAS S/A","-20°17'34.470''","-43°56'19.060''"
"RONDON","PEDREIRA SARGON LTDA","-23°21'24.500''","-46°16'31.200''"
"Barragem B3","SALOBO METAIS S/A","-06°24'28.900''","-50°02'39.000''"
"Barragem B1/B4","SALOBO METAIS S/A","-06°24'20.600''","-50°03'25.600''"
"Dique da Oficina","EMPRESA MINERADORA BOA SORTE LTDA","-23°24'43.000''","-46°12'42.800''"
"Quevedo 1","CARBETO DE SILICIO SIKA BRASIL LTDA","-21°18'29.660''","-44°39'39.180''"
"TABOÃO 01","AVG EMPREENDIMENTOS MINERARIOS S.A.","-19°49'17.090''","-43°43'01.480''"
"SP4 Sul","MINERACAO CARAIBA S/A","-09°51'20.905''","-39°51'45.971''"
"SANTA TERESA","PEDREIRA SARGON LTDA","-23°21'21.800''","-46°16'28.900''"
"TANQUE DE LAMA","AVB MINERACAO LTDA.","-06°14'52.779''","-49°44'47.639''"
"Piteiras","VALE S.A.","-20°25'52.800''","-43°52'58.300''"
"Bacia de Rejeitos","MOSAIC FERTILIZANTES P&K LTDA.","-18°59'12.152''","-46°47'58.919''"
"0-1","ADAO AFONSO RODUI","-16°14'20.620''","-56°39'09.370''"
"22","MINERACAO POSITIVA LTDA EM","-19°32'51.300''","-43°01'17.500''"
"30/jan.","MINERACAO CARAIBA S/A","-09°52'41.556''","-39°52'12.241''"
"42","SAINT-GOBAIN DO BRASIL PRODUTOS INDUSTRIAIS E PARA CONSTRUCAO LTDA","-19°53'29.500''","-43°17'07.900''"
"68-1","SAINT-GOBAIN DO BRASIL PRODUTOS INDUSTRIAIS E PARA CONSTRUCAO LTDA","-19°53'31.600''","-43°17'05.000''"
"69","MINERACAO CARAIBA S/A","-09°51'09.377''","-39°51'57.949''"
"75-1","MINERACAO CARAIBA S/A","-09°51'15.571''","-39°51'48.114''"
"81-1","MINERACAO CARAIBA S/A","-09°51'13.350''","-39°51'49.800''"
"RAPAUNHA","Manoel Rodrigues Gimenes","-15°48'41.050''","-56°23'24.690''"
"PORTO-4A","MINERACAO CARAIBA S/A","-09°52'22.800''","-39°52'16.130''"
"BARRAGEM DE CONTENÇÃO DE REJEITOS","MINERACAO JUNDU LTDA","-21°57'06.006''","-47°36'47.022''"
"PORTO-4B","ALTA FLORESTA GOLD MINERACAO LTDA","-10°48'08.950''","-55°11'10.160''"
"189","RIDALECIO DE SOUZA","-14°52'44.900''","-56°34'22.900''"
"BARRAGEM DE GABIÕES","VALE S.A.","-20°08'49.844''","-43°53'08.710''"
"SUMP DE CONTENÇÃO DE SEDIMENTOS","ALTA FLORESTA GOLD MINERACAO LTDA","-09°22'46.850''","-56°33'52.000''"
"Barragem 02","COOPERATIVA DE MINERADORES E GARIMPEIROS DA REGIAO DE ARIPUANA - COOPEMIGA","-10°07'16.390''","-59°28'21.150''"
"ITAPEVA","Ronny Morais Costa","-16°16'24.820''","-56°46'34.100''"
"QUIXABA USINA","COOPERATIVA DE PRODUTORES DE ESTANHO DO BRASIL COOPERTIN","-09°37'10.790''","-63°03'58.220''"
"TB01","VALE GOLD S.A.","-15°55'09.590''","-56°29'27.180''"
"Rejeito","FILADELFO DOS REIS DIAS","-15°41'01.525''","-56°18'14.936''"
"BACIA DE REJEITOS SÃO BENTO","M & J MINERACAO, PISCICULTURA E REFLORESTAMENTO - EIRELI","-11°26'47.040''","-47°11'34.920''"
"PIRAPORÃO 138 II","MINERACAO TANQUE BELO LTDA","-15°58'45.620''","-56°29'27.430''"
"SANGUINETE","ALEX HENRIQUE CRUZ","-16°13'08.406''","-56°36'43.285''"
"Barragem Salinas 1","MINAR MINERACAO AREDES LTDA","-20°17'09.506''","-43°53'54.556''"
"Marçu","MINERACAO FL JOTAS LTDA","-19°44'42.014''","-44°22'29.210''"
"Guará 2","MORRO DOURADO LTDA","-14°28'47.660''","-59°50'16.080''"
"TD2","MAGNESITA MINERACAO S.A.","-19°24'34.093''","-47°57'14.044''"
"Barragem de Rejeito 01","MAGNESITA MINERACAO S.A.","-19°24'34.829''","-47°57'15.321''"
"803.285/2014","SAFM MINERACAO LTDA","-20°16'07.500''","-43°53'35.800''"
"CASA DE PEDRA","MINERACAO ONCA PUMA S.A.","-06°28'44.522''","-51°03'41.313''"
"BARRAGEM  BLOCO NORTE","NORMA ARGES OLIVA","-16°16'55.770''","-56°37'02.010''"
"Barragem de Rejeito Estrela 03","CENTRO OESTE GOLD MINE S.A.","-14°31'34.860''","-48°27'38.670''"
"OURO BRANCO OESTE","UNAMGEN MINERACAO E METALURGIA SA","00°24'06.026''","-51°45'28.112''"
"Dique 4 (Barragem 3 - Bota fora)","Maxcimiliano Mendes Nascimento","-15°53'29.930''","-56°11'06.660''"
"Dique 5 (Barragem 4 - Bota fora)","PEDREIRA SARGON LTDA","-23°21'21.000''","-46°16'59.400''"
"Bacia 6 A","aparecido francisco da silva","-16°00'22.730''","-56°20'08.660''"
"RESERVATÓRIO 01","EMICON MINERACAO E TERRAPLENAGEM LIMITADA","-20°07'22.700''","-44°18'45.300''"
"MNP-01","EMICON MINERACAO E TERRAPLENAGEM LIMITADA","-20°07'37.171''","-44°18'57.999''"
"B","MAX JOEL RUSSI","-15°39'42.780''","-56°20'05.030''"
"Reservatório 01","O MINERIO PARTICIPACOES LTDA","-15°22'51.160''","-59°15'29.540''"
"Medrado 2","ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","-18°51'40.980''","-43°24'14.390''"
"RESERVATÓRIO 01","MINERACAO RIACHO DOS MACHADOS LTDA.","-16°03'16.560''","-43°06'50.630''"
