"cpf_cnpj","municipio","nome"
"17174900000000","NOVA LIMA","Barragem B1A"
"33039200000000","CARANAÍBA","Dique B3"
"12056600000000","ITATIAIUÇU","Dique B4"
"12056600000000","MATEUS LEME","BARRAGEM DE FLOTAÇÃO"
"12056600000000","ITATIAIUÇU","BARRAGEM DE LIXIVIAÇÃO"
"12056600000000","ITATIAIUÇU","Geladinho"
"12056600000000","MATEUS LEME","Gelado"
"12056600000000","ITATIAIUÇU","Pera Jusante"
"12056600000000","MATEUS LEME","Azul"
"12056600000000","MATEUS LEME","Kalunga"
"12056600000000","ITATIAIUÇU","Barragem BM"
"12056600000000","ITATIAIUÇU","Barragem BR"
"33592500000000","OURO PRETO","PDE Permanente I"
"33592500000000","BARÃO DE COCAIS","Timbopeba"
"33592500000000","BARÃO DE COCAIS","Mosquito"
"33592500000000","BARÃO DE COCAIS","Doutor"
"33592500000000","BARÃO DE COCAIS","Campo Grande"
"62579800000000","SOROCABA","Dicão Leste"
"33592500000000","CANAÃ DOS CARAJÁS","Barragem 02"
"33592500000000","CANAÃ DOS CARAJÁS","Barragem 03"
"48256800000000","SÃO FÉLIX DO XINGU","Taquaras"
"33931500000000","ROSÁRIO DO CATETE","Bacia A"
"8902290000000","CONGONHAS","Bacia B"
"***522859***","POCONÉ","Alto Jacutinga"
"***096118***","POCONÉ","Barnabé"
"592603000000","SANTALUZ","Barnabé 1"
"592603000000","SANTALUZ","Cianita 1"
"15947600000000","ROSÁRIO OESTE","Forquilha I"
"42509300000000","JAGUARARI","Forquilha II"
"60510200000000","MATEUS LEME","Forquilha III"
"592603000000","UBERABA","Barragem MSG"
"592603000000","UBERABA","Forquilha IV"
"592603000000","UBERABA","Forquilha V"
"13554900000000","IRECÊ","Grupo"
"83286500000000","IÇARA","Maravilhas II"
"2745440000000","TATUÍ","Marés I"
"61728800000000","SANTOS","Marés II"
"4788980000000","VITÓRIA DO JARI","Borrachudo"
"4788980000000","VITÓRIA DO JARI","Borrachudo II"
"41785800000000","ITABIRITO","Cambucal I"
"41785800000000","ITABIRITO","Cambucal II"
"22825500000000","CAMPO NOVO DE RONDÔNIA","Cemig I"
"22825500000000","CAMPO NOVO DE RONDÔNIA","Cemig II"
"22825500000000","SÃO FÉLIX DO XINGU","Conceição"
"22825500000000","SÃO FÉLIX DO XINGU","Itabiruçu"
"22825500000000","CUJUBIM","Jirau"
"22825500000000","JARU","Piabas"
"22825500000000","MINISTRO ANDREAZZA","Pontal"
"22825500000000","URUPÁ","Santana"
"21705300000000","ITABIRITO","Barragem 1"
"21705300000000","ITABIRITO","Barragem 2"
"34020000000000","PRESIDENTE FIGUEIREDO","Quinzinho"
"34020000000000","PRESIDENTE FIGUEIREDO","Rio do Peixe"
"34020000000000","PRESIDENTE FIGUEIREDO","Galego"
"34020000000000","PRESIDENTE FIGUEIREDO","B3"
"34020000000000","PRESIDENTE FIGUEIREDO","Dicão"
"17806800000000","ARAXÁ","Diogo"
"60727100000000","BRUMADINHO","Monjolo"
"60869300000000","PRADOS","Norte/Laranjeiras"
"74127000000000","ITAGIBÁ","Porteirinha"
"62477100000000","BRUMADO","Sul (Córrego do Canal)"
"478237000000","GUARAREMA","Sul Superior"
"3369500000000","ITABIRA","Barragem Rio Fiorita"
"33301000000000","BRUMADINHO","Principal"
"3716260000000","AGUAÍ","Barragem Lauro Muller"
"16785100000000","NOVA PETRÓPOLIS","5 (MAC)"
"2196840000000","INHAÚMA","7B"
"17469700000000","ITATIAIUÇU","Sul Inferior"
"17469700000000","ITATIAIUÇU","Barragem Eustáquio"
"16813500000000","MATEUS LEME","Barragem BD-2"
"16813500000000","MATEUS LEME","Barragem Santo Antônio"
"***923895***","NOVA SANTA HELENA","Tanque Específico XII"
"***923895***","NOVA SANTA HELENA","Barragem BD-5"
"934199000000","ITAPETININGA","Barragem Antas Norte"
"934199000000","ITAPETININGA","Barragem BL-1"
"934199000000","SALTO DE PIRAPORA","Barragem BR"
"934199000000","SALTO DE PIRAPORA","Barragem BRI"
"20762000000000","DIAMANTINA","Barragem A"
"3212960000000","NOSSA SENHORA DO LIVRAMENTO","Menezes II"
"80967500000000","FORQUILHINHA","Barragem C"
"3405420000000","BRUMADINHO","VI"
"17227400000000","ITABIRITO","Barragem B"
