"nomeempreendedor","total_barragens"
"MINERACAO POSITIVA LTDA EM","2"
"MINERACAO SERRAS DO OESTE LIMITADA","3"
"SANTA FELICIDADE MINERACAO SPE LTDA","5"
"SAINT-GOBAIN DO BRASIL PRODUTOS INDUSTRIAIS E PARA CONSTRUCAO LTDA","2"
"MAGNESITA MINERACAO S.A.","14"
"UILSON ROMANHA & CIA LTDA","5"
"ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","7"
"SALINAS GOLD MINERACAO LTDA","5"
"Bento Soares de Brito","1"
"GABRIELLA MINERACAO LTDA","1"
"MINERACAO MATHEUS LEME LTDA","3"
"Marcio Nascimento","1"
"Euler Oliveira Coelho","1"
"Sandro de França","1"
"SANTA LUZ DESENVOLVIMENTO MINERAL LTDA","2"
"CIA DE FERRO LIGAS DA BAHIA FERBASA","5"
"EMPRESA DE MINERACAO ESPERANCA S A","3"
"CELESTA MINERACAO S.A","2"
"CSN CIMENTOS BRASIL S.A. Filial: CSN CIMENTOS BRASIL S.A.","1"
"AURA ALMAS MINERACAO S/A","1"
"FRANCISCO XAVIER DA SILVA","2"
"UNAMGEN MINERACAO E METALURGIA SA","1"
"EXTRACAO DE MINERIO BEARIZ LTDA","2"
"EMICON MINERACAO E TERRAPLENAGEM LIMITADA","4"
"J F Rost Martins","1"
"MINERADORA PONTE ALTA LTDA","3"
"Alcoa World Alumina Brasil Ltda.","9"
"Joaquim Aderaldo de Souza Neto","2"
"ITAMINAS COMERCIO DE MINERIOS SA","3"
"ANTONIO CAROLINO DE SOUZA","1"
"MINERACAO SAO FRANCISCO DE ASSIS LTDA","1"
"YARA BRASIL FERTILIZANTES S/A Filial: YARA BRASIL FERTILIZANTES S/A","1"
"MAX JOEL RUSSI","2"
"MINERACAO DO VALE LTDA","1"
"ESTANHO DE RONDONIA S/A","4"
"Pedreira Engebrita Ltda","1"
"Cooperativa de Extração de Carvão Mineral dos Trabalhadores de Criciúma","1"
"FREDERICO AUGUSTO DE ARRUDA GIMENEZ MINERACAO","1"
"Mineração Nova Petrópolis Ltda.","1"
"YAN BITTENCOURT NASCIMENTO","1"
"ROZEN MINERADORA, CONSULTORIA E ASSESSORIA EM GESTAO EMPRESARIAL LTDA","1"
"GRANHA LIGAS LTDA","1"
"VM MINERACAO LTDA","2"
"ALEX HENRIQUE CRUZ","1"
"MONTE SINAI MINERACAO LTDA","1"
"MINERACAO SANTA CRUZ LTDA","1"
"JONAS GIMENEZ RODRIGUES","1"
"A R WEBER","1"
"Marcir Norberto Weber","1"
"T. N. MINERACOES LTDA","1"
"MINERACAO VALE VERDE DO BRASIL LTDA.","1"
"M B L MATERIAIS BASICOS LTDA","2"
"BAUMINAS MINERACAO LTDA","2"
"CASA DE PEDRA LTDA","1"
"Roberto Nunes Rondon","1"
"COOPERMETAL - COOPERATIVA METALURGICA DE RONDONIA","2"
"YURI MACEDO OLIVEIRA","1"
"Diego Sérgio de oliveira Almeida","1"
"MINERACAO SANTA LUZIA LIMITADA","1"
"ATLANTIC NICKEL MINERACAO LTDA","2"
"Cooperativa de Mineração dos Garimpeiros do Lourenço Ltda","1"
"EMBU S A ENGENHARIA E COMERCIO","3"
"MSM Mineração Serra da Moeda Ltda.","10"
"JEFFERSON LUIZ DE ARRUDA E SILVA","1"
"AGIS MINERACAO LTDA.","1"
"COMPANHIA MINERADORA DO PIROCLORO DE ARAXA","2"
"FILADELFO DOS REIS DIAS","3"
"MINERACAO SERRA GRANDE S A","1"
"Indústria Carbonífera Rio Deserto Ltda","1"
"Carbonífera Belluno Ltda.","3"
"CLAUDIO HENRIQUE TEODORO DE ALMEIDA","2"
"TORIO BRASIL MINERACAO LTDA","1"
"GONCALO PEDROSO DE BARROS","1"
