"idempreendedor","nomeempreendedor","cpf_cnpj","unidadegestor"
1,"EXTRATIVA MINERAL S/A","17174900000000",NULL
2,"EXTRATIVA MINERAL S/A","17174900000000",NULL
3,"CIMENTO TUPI S.A. EM RECUPERACAO JUDICIAL","33039200000000","CORBL"
4,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
5,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
6,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
7,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
8,"MINERACAO USIMINAS S.A.","12056600000000",NULL
9,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
10,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
11,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
12,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
13,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
14,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
15,"MINERACAO USIMINAS S.A.","12056600000000",NULL
16,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
17,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
18,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
19,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
20,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
21,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
22,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
23,"VALE S.A.","33592500000000","CORBL"
24,"VALE S.A.","33592500000000","CORBL"
25,"VALE S.A.","33592500000000","CORBL"
26,"VALE S.A.","33592500000000","CORBL"
27,"VALE S.A.","33592500000000","CORBL"
28,"VALE S.A.","33592500000000","CORBL"
29,"TECH ROCK MINERACAO LTDA","62579800000000",NULL
30,"VALE S.A.","33592500000000","CORBN"
31,"VALE S.A.","33592500000000","CORBN"
32,"VALE S.A.","33592500000000","CORBN"
33,"VALE S.A.","33592500000000","CORBN"
34,"MINERACAO SAO FRANCISCO DE ASSIS LTDA","42324000000000","CORBN"
35,"MINERACAO ONCA PUMA S.A.","48256800000000","CORBN"
36,"MINERACAO ONCA PUMA S.A.","48256800000000","CORBN"
37,"MINERACAO ONCA PUMA S.A.","48256800000000","CORBN"
38,"MINERACAO ONCA PUMA S.A.","48256800000000","CORBN"
39,"MINERACAO ONCA PUMA S.A.","48256800000000","CORBN"
40,"NOVELIS DO BRASIL LTDA.","60561800000000","CORBL"
