"idlocalizacao","uf","municipio","latitude","longitude","posicionamento"
1,"MG","NOVA LIMA","-20°06'36.810''","-43°54'31.680''","Sul do Equador"
2,"MG","NOVA LIMA","-20°06'36.060''","-43°54'11.690''","Sul do Equador"
3,"MG","CARANAÍBA","-20°54'12.200''","-43°48'14.000''","Sul do Equador"
4,"MG","ITATIAIUÇU","-20°10'09.300''","-44°27'03.170''","Sul do Equador"
5,"MG","MATEUS LEME","-20°07'44.700''","-44°25'12.700''","Sul do Equador"
6,"MG","MATEUS LEME","-20°07'49.000''","-44°25'21.000''","Sul do Equador"
7,"MG","MATEUS LEME","-20°07'50.650''","-44°25'36.130''","Sul do Equador"
8,"MG","ITATIAIUÇU","-20°09'42.900''","-44°27'22.500''","Sul do Equador"
9,"MG","MATEUS LEME","-20°07'27.890''","-44°24'00.660''","Sul do Equador"
10,"MG","ITATIAIUÇU","-20°09'44.900''","-44°26'50.600''","Sul do Equador"
11,"MG","ITATIAIUÇU","-20°09'21.200''","-44°26'49.500''","Sul do Equador"
12,"MG","ITATIAIUÇU","-20°08'10.800''","-44°24'18.900''","Sul do Equador"
13,"MG","MATEUS LEME","-20°07'31.200''","-44°24'37.700''","Sul do Equador"
14,"MG","MATEUS LEME","-20°07'34.500''","-44°24'48.600''","Sul do Equador"
15,"MG","ITATIAIUÇU","-20°08'45.300''","-44°24'19.700''","Sul do Equador"
16,"MG","ITATIAIUÇU","-20°09'35.400''","-44°26'59.800''","Sul do Equador"
17,"MG","MATEUS LEME","-20°07'17.000''","-44°22'16.400''","Sul do Equador"
18,"MG","MATEUS LEME","-20°07'12.800''","-44°22'18.400''","Sul do Equador"
19,"MG","MATEUS LEME","-20°06'57.900''","-44°22'16.500''","Sul do Equador"
20,"MG","ITATIAIUÇU","-20°08'25.400''","-44°25'20.900''","Sul do Equador"
21,"MG","ITATIAIUÇU","-20°09'01.300''","-44°26'09.000''","Sul do Equador"
22,"MG","ITATIAIUÇU","-20°09'21.800''","-44°26'29.000''","Sul do Equador"
23,"MG","OURO PRETO","-20°24'42.200''","-43°51'55.000''","Sul do Equador"
24,"MG","MARIANA","-20°20'17.000''","-43°25'28.600''","Sul do Equador"
25,"MG","BARÃO DE COCAIS","-19°58'24.601''","-43°36'13.419''","Sul do Equador"
26,"MG","BARÃO DE COCAIS","-19°56'55.421''","-43°35'12.119''","Sul do Equador"
27,"MG","BARÃO DE COCAIS","-19°56'18.423''","-43°35'01.717''","Sul do Equador"
28,"MG","BARÃO DE COCAIS","-19°58'18.219''","-43°36'29.024''","Sul do Equador"
29,"SP","SOROCABA","-23°30'32.300''","-47°23'27.200''","Sul do Equador"
30,"PA","CANAÃ DOS CARAJÁS","-06°23'57.800''","-50°20'24.500''","Sul do Equador"
31,"PA","CANAÃ DOS CARAJÁS","-06°27'17.700''","-50°13'43.500''","Sul do Equador"
32,"PA","CANAÃ DOS CARAJÁS","-06°23'39.900''","-50°19'11.300''","Sul do Equador"
33,"PA","CANAÃ DOS CARAJÁS","-06°28'41.600''","-50°19'16.900''","Sul do Equador"
34,"PA","SÃO FÉLIX DO XINGU","-06°49'53.500''","-51°59'27.600''","Sul do Equador"
35,"PA","SÃO FÉLIX DO XINGU","-06°33'42.700''","-51°10'16.100''","Sul do Equador"
36,"PA","SÃO FÉLIX DO XINGU","-06°33'37.400''","-51°10'00.200''","Sul do Equador"
37,"PA","OURILÂNDIA DO NORTE","-06°34'49.700''","-51°04'37.500''","Sul do Equador"
38,"PA","SÃO FÉLIX DO XINGU","-06°33'31.456''","-51°10'40.184''","Sul do Equador"
