"idmina","nomemina"
1,"Dique - Pilha de Rejeito"
2,"Barragem de Contenção de Sólidos Carreados"
3,"BARRAGEM B1"
4,"Barragem Captação de Água"
5,"Dique 01 Serra Azul - Dique Vai e Volta 1"
6,"Dique 02 Serra Azul - Dique Vai e Volta 2"
7,"Dique 03 Serra Azul - Dique Vai e Volta 3"
8,"Dique 06"
9,"Dique 13 - Pains"
10,"Dique 14"
11,"Dique Couves (MUSA)"
12,"Dique da Divisa"
13,"Dique da Oficina"
14,"Dique da Oficina II"
15,"Dique Flotação"
16,"Dique Intermediário"
17,"Dique Leste I"
18,"Dique Leste II"
19,"Dique Leste III"
20,"Dique Mazano"
21,"Dique da Mineira"
22,"Dique BIV-3 - Dique Hércules"
23,"Prata"
24,"PDE Engano"
25,"2"
26,"A - PDE Nordeste"
27,"C - PDE Nordeste"
28,"Fazendinha"
29,"Fazenda Santa Fé"
30,"1 Mina"
31,"1 Usina"
32,"3 Mina"
33,"Sul Pilha"
34,"RECON"
35,"Dique Provisorio 01"
36,"Dique Provisorio 02"
37,"Usina"
38,"Dique 04"
39,"Dique 05"
40,"SANTA TERESA"
41,"Dique Petrobrás"
42,"BARRAGEM DO LAGARTO"
43,"OURINHOS I"
44,"LU"
45,"BACIA DE SEDIMENTO DA USINA DE TRATAMENTO"
46,"CHICO"
47,"BOM PASTOR"
48,"BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BII"
49,"BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BIII"
50,"BARRAGEM USINA SANTALUZ BENEFICIAMENTO BI"
51,"VALE DOURADO"
52,"Dique 3"
53,"Pond de Emergência"
54,"Bacia de Decantação 1"
55,"Bacia de Decantação 2"
56,"Bacia de Decantação 3"
57,"BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVA"
58,"BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVB"
59,"BARRAGEM  USINA BENEFICIAMENTO L7 - IIB"
60,"BARRAGEM USINA BENEFICIAMENTO L7 - IIA"
61,"BARRAGEM USINA BENEFICIAMENTO L8 - IIIA"
62,"BARRAGEM USINA BENEFICIAMENTO L8 - IIIB"
63,"PORTO-4A"
64,"PORTO-4B"
65,"Barragem de Rejeitos de Irecê"
66,"TANQUE DE DECANTAÇÃO"
67,"Barragem 101"
68,"Quevedo 1"
69,"engebrita"
70,"LAGOA FACEL 4"
71,"LAGOA FACEL 3"
72,"Barragem do Muriacá"
73,"Barragem do Felipe"
74,"Barragem B2"
75,"Barragem B3"
76,"BARRAGEM 01"
77,"BARRAGEM 02"
78,"BARRAGEM SÃO GERALDO"
79,"BARRAGEM SAO GERALDO 02"
80,"BARRAGEM TABOQUINHA"
81,"BARRAGEM TARILÂNDIA 01"
82,"BARRAGEM 339"
83,"BARRAGEM 341"
84,"BARRAGEM URUPA 01"
85,"Barragem 3A - Sedimentação"
86,"Barragem 3B - Sedimentação"
87,"Barragem 4 - Acumulação"
88,"barragem 7 - Dique Filtrante"
89,"Barragem 8 - Dique Filtrante"
90,"Barragem 9 - Dique Filtrante"
91,"Barragem 5 - Captação"
92,"Barragem 6 - Dique Filtrante"
93,"42"
94,"68-1"
95,"69"
96,"75-1"
97,"30/jan."
98,"22"
99,"189"
100,"Barragem 1"
101,"TABOÃO 01"
102,"TABOÃO 02"
103,"Barragem B3"
104,"Dique de Contenção Pilha de Estéril MMR"
105,"Barramento 1"
106,"Dique Santa Rita"
107,"BARRAGEM DE DEPOSIÇÃO DE LAMA"
108,"D-2"
109,"D-1"
110,"D-3"
111,"TANQUE DE LAMA"
112,"CAMC"
113,"Guará 2"
114,"Piteiras"
115,"CAMPOS"
116,"Barragem Santa Helena"
117,"RIO BRANCO"
118,"DIQUE DE SAÍDA DE CAVA"
119,"BARRAGEM DE GABIÕES"
120,"SUMP DE CONTENÇÃO DE SEDIMENTOS"
121,"TD2"
122,"TANQUE DE DECANTAÇÃO"
123,"TANQUE DE DECANTAÇÃO 2"
124,"MNP-01"
125,"GERAIS"
126,"803.285/2014"
127,"QUIXABA USINA"
128,"Dique 01 de Terra"
129,"Dique 2 de Concreto"
130,"Dique 01 - Serra Azul"
131,"Dique 02 - Pitangui"
132,"Dique 06 - Véu da Noiva Jusante"
133,"Dique 08 - Pátio CMC"
134,"Dique de Concreto"
135,"Rejeito"
136,"BARRAGEM  BLOCO NORTE"
137,"BARRAGEM BLOCO  SUL"
138,"CHAPADINHA 061"
139,"CHAPADINHA 221"
140,"PIRAPORÃO 138 II"
141,"PIRAPORÃO 138 III"
142,"SANGUINETE"
143,"BACIA DE REJEITO MINERGOLD"
144,"Barragem Salinas 1"
145,"Santa Líbera"
146,"Dique 03"
147,"Bacuri"
148,"SAMACA"
149,"BARRAGEM"
150,"REJEITO USINA"
151,"Bacia Lavador de Rodas"
152,"Bacia de Conteção de Finos da PDE-A Norte"
153,"Bacia de Conteção de Finos da PDE-A Sul"
154,"Reservatório 01"
155,"Dique 4 (Barragem 3 - Bota fora)"
156,"RESERVATÓRIO 01"
157,"RESERVATÓRIO 01"
158,"Bacia 01"
159,"Bacia 07"
160,"Bacia 08"
161,"Bacia 09"
162,"Bacia 15"
163,"Bacia 16"
164,"Bacia 17"
165,"RESERVATÓRIO 01"
166,"RESERVATÓRIO 02"
167,"RESERVATÓRIO 01"
168,"BARRAGEM DA USINA"
169,"Medrado 1"
170,"Medrado 2"
171,"Medrado 3"
172,"Dique de Sedimentos da PDE Cava Sul"
173,"CSO1"
174,"PN - 1"
175,"PN - 3"
176,"PN - 4"
177,"PN - 6"
178,"PS -1"
179,"13 - AN"
180,"Queimada"
181,"Barragem Morro Pelado"
182,"Boa Sorte"
183,"Sedimentação de finos"
184,"CAVA 1"
185,"CAVA 2"
186,"Deposito de Finos Porto de Areia Serramar"
187,"Fiori"
188,"decantação de finos / reservatorio agua processo"
189,"R22"
190,"R75"
191,"Area M"
192,"Dutra"
193,"Barragem T04"
194,"Barragem Morro Pelado 2"
195,"Dique Quéias - Captação de Água"
196,"Dique B2 - Pilha de Estéril João Manoel"
197,"Dique B3 - Pilha de Estéril João Manoel"
